YEAR,Rk,TEAM,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,PO,AvAge,OL,SOW,SOL
2025,6.0,Los Angeles Kings,82,48,25,,105,0.64,249,203,0.5,-0.04,3.04,2.48,37,207,17.87,44,237,81.43,4,6,7.8,7.8,2302,10.8,2091,0.903,6,YES,29.4,9.0,1.0,3.0
2025,7.0,Tampa Bay Lightning,82,47,27,,102,0.622,292,216,0.89,-0.03,3.56,2.63,60,232,25.86,38,206,81.55,11,13,8.1,9.3,2341,12.5,2311,0.907,7,YES,29.7,8.0,2.0,3.0
2025,8.0,Colorado Avalanche,82,49,29,,102,0.622,273,231,0.5,-0.03,3.33,2.82,58,234,24.79,42,208,79.81,5,7,6.8,7.2,2451,11.1,2126,0.891,5,YES,28.7,4.0,4.0,3.0
2025,9.0,Edmonton Oilers,82,48,29,,101,0.616,259,235,0.26,-0.02,3.16,2.87,51,215,23.72,45,206,78.16,5,4,7.5,7.6,2622,9.9,2211,0.894,4,YES,30.4,5.0,0.0,1.0
2025,10.0,Carolina Hurricanes,82,47,30,,99,0.604,266,230,0.4,0.0,3.24,2.8,46,246,18.7,40,244,83.61,10,5,7.9,8.1,2599,10.2,2044,0.887,5,YES,29.6,5.0,0.0,3.0
2025,11.0,Florida Panthers,82,47,31,,98,0.598,246,223,0.35,-0.01,3.0,2.72,56,238,23.53,47,244,80.74,12,10,10.4,9.5,2588,9.5,2146,0.896,8,YES,29.6,4.0,6.0,0.0
2025,12.0,Minnesota Wild,82,45,30,,97,0.591,225,236,-0.13,0.01,2.74,2.88,43,206,20.87,56,203,72.41,4,4,7.6,7.5,2263,9.9,2427,0.903,6,YES,29.7,7.0,3.0,3.0
2025,13.0,Ottawa Senators,82,45,30,,97,0.591,242,232,0.11,-0.01,2.95,2.83,64,269,23.79,51,229,77.73,9,3,8.5,10.0,2403,10.1,2346,0.901,10,YES,28.2,7.0,1.0,2.0
2025,14.0,Calgary Flames,82,41,27,,96,0.585,220,236,-0.17,-0.02,2.68,2.88,49,233,21.03,54,226,76.11,7,6,9.2,9.6,2414,9.1,2372,0.901,5,NO,28.4,14.0,5.0,2.0
2025,15.0,St. Louis Blues,82,44,30,,96,0.585,250,231,0.25,-0.01,3.05,2.82,43,195,22.05,49,191,74.35,4,5,7.5,8.2,2185,11.4,2236,0.897,4,YES,29.3,8.0,4.0,2.0
2025,16.0,Montreal Canadiens,82,40,31,,91,0.555,243,261,-0.23,0.02,2.96,3.18,47,234,20.09,49,257,80.93,9,6,9.3,8.3,2095,11.6,2383,0.89,5,YES,26.9,11.0,2.0,4.0
2025,17.0,New Jersey Devils,82,42,33,,91,0.555,240,220,0.24,-0.01,2.93,2.68,61,216,28.24,39,225,82.67,7,4,8.4,7.5,2303,10.4,2160,0.898,9,YES,29.6,7.0,2.0,2.0
2025,18.0,Vancouver Canucks,82,38,30,,90,0.549,233,251,-0.22,-0.01,2.84,3.06,50,222,22.52,39,224,82.59,4,7,9.3,9.1,2094,11.1,2198,0.886,5,NO,28.6,14.0,3.0,2.0
2025,19.0,Columbus Blue Jackets,82,40,33,,89,0.543,267,267,0.06,0.0,3.26,3.26,36,185,19.46,50,217,76.96,9,7,8.2,7.5,2382,11.2,2453,0.891,4,NO,27.6,9.0,6.0,1.0
2025,20.0,Utah Hockey Club,82,38,31,,89,0.543,240,247,-0.11,0.01,2.93,3.01,57,236,24.15,52,251,79.28,4,8,9.6,9.5,2339,10.3,2271,0.891,2,NO,27.7,13.0,1.0,4.0
2025,21.0,Detroit Red Wings,82,39,35,,86,0.524,235,259,-0.23,0.02,2.87,3.16,64,237,27.0,55,184,70.11,2,7,6.8,8.2,2249,10.4,2335,0.889,4,NO,29.5,8.0,3.0,0.0
2025,22.0,New York Rangers,82,39,36,,85,0.518,255,255,0.01,0.0,3.11,3.11,37,210,17.62,47,239,80.33,18,7,8.4,7.6,2344,10.9,2451,0.896,9,NO,28.9,7.0,1.0,0.0
2025,23.0,New York Islanders,82,35,35,,82,0.5,222,257,-0.43,0.01,2.71,3.13,26,207,12.56,50,180,72.22,9,8,5.7,6.5,2418,9.2,2356,0.891,4,NO,29.7,12.0,2.0,3.0
2025,24.0,Pittsburgh Penguins,82,34,36,,80,0.488,242,287,-0.59,0.02,2.95,3.5,57,221,25.79,48,216,77.78,5,5,6.8,7.3,2323,10.4,2470,0.884,3,NO,30.9,12.0,1.0,6.0
2025,25.0,Anaheim Ducks,82,35,37,,80,0.488,217,261,-0.49,0.03,2.65,3.18,26,221,11.76,64,248,74.19,3,6,8.9,7.8,2270,9.6,2648,0.901,1,NO,27.4,10.0,4.0,2.0
2025,26.0,Buffalo Sabres,82,36,39,,79,0.482,265,287,-0.24,0.01,3.23,3.5,43,229,18.78,57,241,76.35,10,8,10.2,9.6,2278,11.6,2368,0.879,3,NO,26.1,7.0,4.0,2.0
2025,27.0,Boston Bruins,82,33,39,,76,0.463,222,271,-0.57,0.04,2.71,3.3,35,230,15.22,56,236,76.27,6,13,9.8,9.4,2173,10.2,2346,0.884,7,NO,28.1,10.0,0.0,1.0
2025,28.0,Seattle Kraken,82,35,41,,76,0.463,245,262,-0.23,-0.01,2.99,3.2,43,227,18.94,44,193,77.2,3,4,7.1,7.9,2243,10.9,2342,0.888,2,NO,28.9,6.0,2.0,3.0
2025,29.0,Philadelphia Flyers,82,33,39,,76,0.463,232,283,-0.56,0.02,2.83,3.45,32,214,14.95,45,201,77.61,4,10,7.3,7.4,2212,10.5,2210,0.872,3,NO,26.8,10.0,6.0,3.0
2025,30.0,Nashville Predators,82,30,44,,68,0.415,212,274,-0.69,0.04,2.59,3.34,50,229,21.83,45,243,81.48,1,5,9.8,9.2,2403,8.8,2342,0.883,4,NO,29.9,8.0,2.0,0.0
2025,31.0,Chicago Blackhawks,82,25,46,,61,0.372,224,292,-0.83,0.03,2.73,3.56,47,189,24.87,47,227,79.3,6,7,8.6,7.2,2005,11.2,2550,0.885,0,NO,28.1,11.0,2.0,4.0
2025,32.0,San Jose Sharks,82,20,50,,52,0.317,208,310,-1.24,0.04,2.54,3.78,42,226,18.58,66,256,74.22,5,8,8.7,8.6,2203,9.4,2606,0.881,1,NO,27.2,12.0,2.0,5.0
2025,,League Average,82,41,33,,90,0.552,247,247,,,,,48,222,21.64,48,222,78.36,7,7,8.2,8.2,2318,10.7,2318,0.893,5,NO,28.8,8.0,,
